<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160927,000000,178.7000000,184.4500000,176.6500000,178.5000000,238380
20160928,000000,178.5000000,180.4500000,176.8500000,177.4500000,99990
20160929,000000,179.8500000,180.0500000,176.0000000,177.4000000,314910
20160930,000000,177.5500000,178.3000000,176.1000000,176.9000000,91400
20161003,000000,177.2000000,179.5000000,173.2000000,178.4500000,255170
20161004,000000,178.5500000,179.0000000,176.0500000,176.5000000,170740
20161005,000000,176.2000000,176.4000000,174.0000000,175.2000000,79810
20161006,000000,175.1000000,176.7000000,173.6000000,175.7500000,80820
20161007,000000,176.2000000,177.3000000,174.3000000,175.9500000,86580
20161010,000000,176.3500000,177.9000000,176.1500000,177.0500000,61840
20161011,000000,177.7000000,178.2000000,176.3500000,177.2500000,90490
20161012,000000,177.3000000,177.6500000,175.1000000,177.4000000,54130
20161013,000000,176.7000000,178.5500000,175.5000000,177.5000000,115960
20161014,000000,177.3000000,178.8000000,176.4000000,177.3000000,55510
20161017,000000,176.2000000,178.8500000,175.3500000,177.1500000,68500
20161018,000000,176.8000000,177.9000000,176.3500000,177.0500000,60620
20161019,000000,177.1000000,180.3000000,176.3500000,179.8000000,311490
20161020,000000,179.5000000,180.8500000,178.9000000,179.9000000,445620
20161021,000000,179.8000000,181.9500000,179.5500000,180.5000000,374610
20161024,000000,181.2000000,182.4500000,180.6500000,180.9500000,771350
20161025,000000,181.0000000,182.0000000,179.1000000,180.7000000,285650
20161026,000000,180.5500000,182.9500000,179.7000000,182.8500000,142820
20161027,000000,182.8500000,187.8000000,182.7500000,185.5500000,381060
20161028,000000,185.2000000,186.5000000,183.7000000,184.9000000,129420
20161031,000000,185.0000000,185.0000000,182.4500000,184.7000000,95800
20161101,000000,184.8500000,186.0000000,182.2500000,185.4000000,134220
20161102,000000,185.3000000,186.5500000,183.7000000,184.5000000,86780
20161103,000000,184.5000000,185.7000000,182.9000000,184.7500000,111180
20161107,000000,184.1000000,184.8000000,181.0500000,182.1000000,86100
20161108,000000,182.1000000,183.5500000,180.1000000,180.2000000,480260
20161109,000000,179.5000000,183.0000000,175.5500000,182.5500000,245570
20161110,000000,182.2500000,189.9000000,182.0500000,186.4000000,337540
20161111,000000,186.4000000,188.0000000,181.5500000,182.0000000,154360
20161114,000000,183.1500000,184.6500000,179.0000000,179.5500000,199380
20161115,000000,180.5500000,183.8000000,180.0000000,182.0000000,151230
20161116,000000,182.6000000,186.0000000,182.4500000,185.0000000,185030
20161117,000000,184.5000000,187.0000000,184.3000000,186.0000000,209940
20161118,000000,186.0000000,187.7500000,185.5000000,186.8000000,120810
20161121,000000,186.8500000,190.4500000,186.8500000,189.8500000,190370
20161122,000000,190.2500000,191.7500000,188.5500000,190.0000000,192560
20161123,000000,190.5000000,193.6000000,189.1000000,192.7500000,254520
20161124,000000,192.7500000,200.0000000,191.3000000,198.8500000,397770
20161125,000000,200.0000000,200.9500000,196.0000000,196.6000000,331040
20161128,000000,197.0000000,198.9000000,193.0000000,193.2500000,178070
20161129,000000,193.4000000,198.5000000,193.0500000,196.9500000,203380
20161130,000000,197.5000000,199.9000000,196.1000000,199.9000000,163060
20161201,000000,199.8500000,201.8500000,198.8500000,200.3000000,119420
20161202,000000,201.0000000,207.7000000,200.4500000,202.4000000,342080
20161205,000000,201.5500000,206.7000000,200.3000000,204.0000000,357300
20161206,000000,204.0000000,205.3500000,202.9000000,205.0000000,221770
20161207,000000,204.9500000,205.2000000,203.0000000,203.9000000,187400
20161208,000000,203.8500000,210.5000000,203.0500000,209.9500000,330020
20161209,000000,209.9500000,211.8000000,204.4500000,206.8500000,402550
20161212,000000,206.8000000,209.6000000,205.0500000,206.5500000,563860
20161213,000000,207.2500000,207.8500000,203.1000000,206.5500000,385750
20161214,000000,206.5500000,209.0500000,203.1500000,206.1000000,419760
20161215,000000,205.2500000,209.6500000,205.0000000,207.5500000,1150210
20161216,000000,206.8000000,209.5500000,206.8000000,208.0000000,356820
20161219,000000,207.1000000,209.5000000,207.1000000,207.8500000,342440
20161220,000000,206.7000000,211.4500000,203.5000000,209.2500000,402790
20161221,000000,209.2500000,210.9500000,206.6000000,208.9000000,187900
20161222,000000,207.7000000,209.0500000,205.4000000,208.0500000,208590
20161223,000000,207.3000000,209.8500000,207.0000000,208.3500000,93590
20161226,000000,208.9000000,209.7000000,206.0000000,207.0500000,19440
20161227,000000,207.0000000,209.0500000,207.0000000,208.6000000,25920
20161228,000000,208.6500000,213.7500000,208.2500000,211.7000000,439320
20161229,000000,211.5000000,215.9000000,210.1000000,214.1500000,251940
20161230,000000,214.5000000,218.9500000,213.6500000,214.0000000,166640
